24132023;GMMIMM;Gießereimechaniker/in FR Maschinenformguss;Gießereimechaniker/in FR Maschinenformguss;1027_24132023
25212006-DS;KFZM-DS;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatroni;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin (+ duales Studium);1027_25212006-DS
11602002;WNZ;Winzer/Winzerin;Winzer/Winzerin;1027_11602002
26312011-GS;IE-GS;Informationselektroniker/Informationselektronikeri;Informationselektroniker/Informationselektronikerin Schwerpunkt Geräte- und Systemtechnik;1027_26312011-GS
23322003-PR;FOG-PR;Fotograf/Fotografin - Schwerpunkt Produktfotografi;Fotograf/Fotografin - Schwerpunkt Produktfotografie;1027_23322003-PR
28122002;WEB;Weber/Weberin;Weber/Weberin;1027_28122002
25212013-PT;KFZM-PT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatroni;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Personenkraftwagentechnik;1027_25212013-PT
23122020;VPIPD;Verpackungsmittelmechaniker/in;Verpackungsmittelmechaniker/in;1027_23122020
99999069;FSMst-BBH;FS MstMaurer- und Betonbauer-Handwerk;FS MstMaurer- und Betonbauer-Handwerk;1027_99999069
62302002;FPLH-BA;Fachpraktiker für Fachverkauf im Lebensmittelhandw;Fachpraktiker für Fachverkauf im Lebensmittelhandwerk/Fachpraktikerin für Fachverkauf im Lebensmittelhandwerk - Schwerpunkt Bäckerei;1027_62302002
34332070;FPKAIGV;Fachpraktiker/in für Kreislauf- und Abfallwirtscha;Fachpraktiker/in für Kreislauf- und Abfallwirtschaft;1027_34332070
21222008-VB;VSE-VB;Verfahrensmechaniker in der Steine- und Erdenindus;Verfahrensmechaniker in der Steine- und Erdenindustrie/Verfahrensmechanikerin in der Steine- und Erdenindustrie - Fachrichtung Vorgefertigte Betonerzeugnisse;1027_21222008-VB
93622310;HIMHPK;Holzblasinstrumentenmacher/in Handwerk;Holzblasinstrumentenmacher/in Handwerk;1027_93622310
25102020;IFIMF;Industriefachhelfer/in (§66 BBiG/§42r HwO);Industriefachhelfer/in (§66 BBiG/§42r HwO);1027_25102020
34212360-GW;FPGWHGV;Fachpraktiker/in für Gas- und Wasserinstallation (;Fachpraktiker/in für Gas- und Wasserinstallation (§42r HwO);1027_34212360-GW
23412320;MTSHPD;Medientechnologe/Medientechnologin Siebdruck Handw;Medientechnologe/Medientechnologin Siebdruck Handwerk;1027_23412320
24422002;SWWE;Schweißwerker/Schweißwerkerin;Schweißwerker/Schweißwerkerin;1027_24422002
26252310;EBTHME;Elektroniker/in für Betriebstechnik Handwerk;Elektroniker/in für Betriebstechnik Handwerk;1027_26252310
52132001;FKFB;Fachkraft im Fahrbetrieb;Fachkraft im Fahrbetrieb;1027_52132001
32122340;FMAHHT;Fachpraktiker/in im Maurerhandwerk (§42r HwO);Fachpraktiker/in im Maurerhandwerk (§42r HwO);1027_32122340
93432311;GBCHPK;Glasbläser/in FR Christbaumschmuck;Glasbläser/in FR Christbaumschmuck;1027_93432311
63302007-RS;FKGG-RS;Fachkraft für Gastronomie - Schwerpunkt Restaurant;Fachkraft für Gastronomie - Schwerpunkt Restaurantservice;1027_63302007-RS
32222020;SBIHT;Straßenbauer/in Industrie;Straßenbauer/in Industrie;1027_32222020
61123021;MDBIEH;Mediengestalter/in Digital und Print FR Beratung u;Mediengestalter/in Digital und Print FR Beratung und Planung Industrie;1027_61123021
27212013-TSL;BZ-TSL;Bauzeichner/Bauzeichnerin - Schwerpunkt Tief-, Str;Bauzeichner/Bauzeichnerin - Schwerpunkt Tief-, Straßen- und Landschaftsbau;1027_27212013-TSL
25222002-DS;LBM-DS;Land- und Baumaschinenmechatroniker/Land- und Baum;Land- und Baumaschinenmechatroniker/Land- und Baumaschinenmechatronikerin (+ duales Studium);1027_25222002-DS
22352022;BPPIKH;Bürsten- und Pinselmacher/in FR Pinselherstellung ;Bürsten- und Pinselmacher/in FR Pinselherstellung Industrie;1027_22352022
83212610;HWLET;Hauswirtschafter/in Landwirtschaft;Hauswirtschafter/in Landwirtschaft;1027_83212610
28132310;SEHTL;Seiler/in;Seiler/in;1027_28132310
25252001;FRM;Fahrradmonteur/Fahrradmonteurin;Fahrradmonteur/Fahrradmonteurin;1027_25252001
21342331;GVKHRK;Glasveredler/in FR Kanten- und Flächenveredlung Ha;Glasveredler/in FR Kanten- und Flächenveredlung Handwerk;1027_21342331
26322001-DS;MT-DS;Mikrotechnologe/Mikrotechnologin (+ duales Studium;Mikrotechnologe/Mikrotechnologin (+ duales Studium);1027_26322001-DS
21342002-GR;GV-GR;Glasveredler/Glasveredlerin - Fachrichtung Gravur;Glasveredler/Glasveredlerin - Fachrichtung Gravur;1027_21342002-GR
61282002;KEC;Kaufmann im E-Commerce/Kauffrau im E-Commerce;Kaufmann im E-Commerce/Kauffrau im E-Commerce;1027_61282002
33212350;FWHAB;Fachwerker/in im Maler- und Lackiererhandwerk (§42;Fachwerker/in im Maler- und Lackiererhandwerk (§42r HwO);1027_33212350
41322040-TV;TLVIMB;Textillaborant/in SP Textilveredlung;Textillaborant/in SP Textilveredlung;1027_41322040-TV
24412390-MB;MBFHMM;Fachpraktiker/in für Metallbau (§42r HwO) Handwerk;Fachpraktiker/in für Metallbau (§42r HwO) Handwerk;1027_24412390-MB
11101610;TWLLF;Helfer/in in der Landwirtschaft / Landwirtschaftsh;Helfer/in in der Landwirtschaft / Landwirtschaftshelfer/in (§66 BBiG);1027_11101610
99999027;FSTe-ET-EE;FS Te Fr Elektrotechnik Sp Energieelektronik;FS Te Fr Elektrotechnik Sp Energieelektronik;1027_99999027
51312070;FPLBBIG;Fachpraktiker/in im Lagerbereich (24 Monate);Fachpraktiker/in im Lagerbereich (24 Monate);1027_51312070
32232010;GBIHT;Gleisbauer/in;Gleisbauer/in;1027_32232010
27212073;TSEIFP;Technische/r Systemplaner/in FR Elektrotechnische ;Technische/r Systemplaner/in FR Elektrotechnische Systeme;1027_27212073
25223341-NH;MBDSNHMF;Metallbauer/in + duales Studium FR Nutzfahrzeugbau;Metallbauer/in + duales Studium FR Nutzfahrzeugbau Handwerk;1027_25223341-NH
32262010-DS;WBDSIHT;Wasserbauer/in + duales Studium Industrie;Wasserbauer/in + duales Studium Industrie;1027_32262010-DS
62102005-BÄ;FGNV-BÄ;Fachgehilfe im Nahrungsmittelverkauf/Fachgehilfin ;Fachgehilfe im Nahrungsmittelverkauf/Fachgehilfin im Nahrungsmittelverkauf - Schwerpunkt Bäckerei;1027_62102005-BÄ
43412351;FIAEH;Fachinformatiker/in FR Anwendungsentwicklung Handw;Fachinformatiker/in FR Anwendungsentwicklung Handwerk;1027_43412351
62282001;TAW;Tankwart/Tankwartin;Tankwart/Tankwartin;1027_62282001
71402001;BFH;Bürofachhelfer/Bürofachhelferin;Bürofachhelfer/Bürofachhelferin;1027_71402001
27232332;TMKHFP;Technische/r Modellbauer/in FR Karosserie und Prod;Technische/r Modellbauer/in FR Karosserie und Produktion Handwerk;1027_27232332
61212012;KGGIEH;Kaufmann/Kauffrau im Groß- und Außenhandel FR Groß;Kaufmann/Kauffrau im Groß- und Außenhandel FR Großhandel Industrie;1027_61212012
22112321;MRRHKH;Mechaniker/in für Reifen- und Vulkanisationstechni;Mechaniker/in für Reifen- und Vulkanisationstechnik FR Reifen- und Fahrwerktechnik;1027_22112321
71402009-DS;KBM-DS;Kaufmann für Büromanagement/Kauffrau für Büromanag;Kaufmann für Büromanagement/Kauffrau für Büromanagement (+ duales Studium);1027_71402009-DS
33212330;BOSHAB;Bauten- und Objektbeschichter/in (§42r HwO);Bauten- und Objektbeschichter/in (§42r HwO);1027_33212330
73112830;PFFRV;Patentanwaltsfachangestellte/r;Patentanwaltsfachangestellte/r;1027_73112830
11312001-PZ;PW-PZ;Pferdewirt/Pferdewirtin - Fachrichtung Pferdezucht;Pferdewirt/Pferdewirtin - Fachrichtung Pferdezucht;1027_11312001-PZ
31212312-BV;VTBVHBA;Vermessungstechniker/in FR Bergvermessung Handwerk;Vermessungstechniker/in FR Bergvermessung Handwerk;1027_31212312-BV
93352019-WZ;WZIPK;Wachszieher/in Industrie;Wachszieher/in Industrie;1027_93352019-WZ
33302360-AB;BFWAHLM;Baufachwerker/in (§42r HwO) FR Ausbau;Baufachwerker/in (§42r HwO) FR Ausbau;1027_33302360-AB
21232001-SA;SM-SA;Steinmetz und Steinbildhauer/Steinmetzin und Stein;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinmetzarbeiten;1027_21232001-SA
99999022;FSTe-AT-PZA;FS Te Fr Automatisierungst. Sp Prozessautomat.;FS Te Fr Automatisierungst. Sp Prozessautomat.;1027_99999022
24413383-MG;MBDSMHMM;Metallbauer/in + duales Studium FR Metallgestaltun;Metallbauer/in + duales Studium FR Metallgestaltung Handwerk;1027_24413383-MG
11712610;FWLLF;Forstwirt/in;Forstwirt/in;1027_11712610
99999030;FSTe-HAT-MR;FS Te Fr Holztechnik Sp Möbelbau und Raumgestalt.;FS Te Fr Holztechnik Sp Möbelbau und Raumgestalt.;1027_99999030
28332020;SFITL;Schuhfertiger/in;Schuhfertiger/in;1027_28332020
73213724-DS;SODSRÖRV;Sozialversicherungsfachangestellte/r + duales Stud;Sozialversicherungsfachangestellte/r + duales Studium FR Gesetzliche Rentenversicherung Handwerk;1027_73213724-DS
34312030;FWVIGV;Fachkraft für Wasserversorgungstechnik Industrie;Fachkraft für Wasserversorgungstechnik Industrie;1027_34312030
12142613;GAGLGF;Gärtner/in FR Garten- und Landschaftsbau;Gärtner/in FR Garten- und Landschaftsbau;1027_12142613
11212611;TWRLLF;Tierwirt/in FR Rinderhaltung;Tierwirt/in FR Rinderhaltung;1027_11212611
11222614;TWGLLF;Tierwirt/in FR Geflügelhaltung;Tierwirt/in FR Geflügelhaltung;1027_11222614
99999085;HBF_EV;Staatl. gepr. Assistent/in Ernährung u. Versorgung;Staatl. gepr. Assistent/in Ernährung u. Versorgung;1027_99999085
81142001;TMFA;Tiermedizinischer Fachangestellter/Tiermedizinisch;Tiermedizinischer Fachangestellter/Tiermedizinische Fachangestellte;1027_81142001
51332001;FKHL;Fachkraft für Hafenlogistik;Fachkraft für Hafenlogistik;1027_51332001
26122003-AT;ELAT;Elektroniker für Automatisierungstechnik/Elektroni;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik;1027_26122003-AT
32242010;BRUIHT;Brunnenbauer/in Industrie;Brunnenbauer/in Industrie;1027_32242010
81142820;TFFMG;Tiermedizinische(r) Fachangestellte/r;Tiermedizinische(r) Fachangestellte/r;1027_81142820
93542005-TE;SLH-TE;Schilder- und Lichtreklamehersteller/Schilder- und;Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin - Schwerpunkt Technik, Montage, Werbeelektrik/-elektronik;1027_93542005-TE
26302001;ELGS;Elektroniker für Geräte und Systeme/Elektronikerin;Elektroniker für Geräte und Systeme/Elektronikerin für Geräte und Systeme;1027_26302001
22102006-FT-DS;VKK-FT-DS;Verfahrensmechaniker für Kunststoff- und Kautschuk;Verfahrensmechaniker für Kunststoff- und Kautschuktechnik/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Formteile (+ duales Studium);1027_22102006-FT-DS
26312003;FPITS;Fachpraktiker für IT-Systeme/Fachpraktikerin für I;Fachpraktiker für IT-Systeme/Fachpraktikerin für IT-Systeme;1027_26312003
28242908-HW;FZIMH;Fahrzeuginterieur-Mechaniker/in (Handwerk);Fahrzeuginterieur-Mechaniker/in (Handwerk);1027_28242908-HW
93522012-SD;DS-SD;Diamantschleifer/Diamantschleiferin - Schwerpunkt ;Diamantschleifer/Diamantschleiferin - Schwerpunkt Schmuckdiamanten;1027_93522012-SD
34312009-AB;UTK-AB;Umwelttechnologe für Kreislauf- und Abfallwirtscha;Umwelttechnologe für Kreislauf- und Abfallwirtschaft/Umwelttechnologin für Kreislauf- und Abfallwirtschaft - Schwerpunkt Abfallbeseitigung und -behandlung;1027_34312009-AB
33112010;FPIAB;Fliesen-, Platten- und Mosaikleger/in Industrie;Fliesen-, Platten- und Mosaikleger/in Industrie;1027_33112010
43113320-DS;INKDSHIK;Informatikkaufmann/-kauffrau + duales Studium Hand;Informatikkaufmann/-kauffrau + duales Studium Handwerk;1027_43113320-DS
53112020;SSSISU;Servicekraft für Schutz und Sicherheit;Servicekraft für Schutz und Sicherheit;1027_53112020
25232005-IT-DS;FGM-IT-DS;Fluggerätmechaniker/Fluggerätmechanikerin - Fachri;Fluggerätmechaniker/Fluggerätmechanikerin - Fachrichtung Instandhaltungstechnik (+ duales Studium);1027_25232005-IT-DS
62532020;MFHIVB;Musikfachhändler/in Industrie;Musikfachhändler/in Industrie;1027_62532020
26212001;BE-EI;Bearbeiter/Bearbeiterin für Elektroinstallationen;Bearbeiter/Bearbeiterin für Elektroinstallationen;1027_26212001
51212710;SWÖVL;Straßenwärter/in;Straßenwärter/in;1027_51212710
21222025;VMVIRK;Verfahrensmechaniker/in in der Steine- und Erdenin;Verfahrensmechaniker/in in der Steine- und Erdenindustrie FR Vorgefertigte Betonerzeugnisse;1027_21222025
73112003;RNFA;Rechtsanwalts- und Notarfachangestellter/Rechtsanw;Rechtsanwalts- und Notarfachangestellter/Rechtsanwalts- und Notarfachangestellte;1027_73112003
34102310;HWGHGV;Hauswartsgehilfe/-gehilfin (§42r HwO);Hauswartsgehilfe/-gehilfin (§42r HwO);1027_34102310
73282002-KV;VFA-KIV;Verwaltungsfachangestellter/Verwaltungsfachangeste;Verwaltungsfachangestellter/Verwaltungsfachangestellte - Fachrichtung Kirchenverwaltung in den Gliedkirchen der Evangelischen Kirche in Deutschland;1027_73282002-KV
71402002;KBM;Kaufmann für Büromanagement/Kauffrau für Büromanag;Kaufmann für Büromanagement/Kauffrau für Büromanagement;1027_71402002
99999062;FSAP-AP;FS Altenpflege Fr Altenpfleger/-innen;FS Altenpflege Fr Altenpfleger/-innen;1027_99999062
33132001;PAL;Parkettleger/Parkettlegerin;Parkettleger/Parkettlegerin;1027_33132001
82312001;FPFR;Fachpraktiker für Friseur/Fachpraktikerin für Fris;Fachpraktiker für Friseur/Fachpraktikerin für Friseurin;1027_82312001
93612349;ZIHPK;Zupfinstrumentenmacher/in (ohne FR-Angabe);Zupfinstrumentenmacher/in (ohne FR-Angabe);1027_93612349
27212082;TZHIFP;Technische/r Zeichner/in FR Heizungs-, Klima- und ;Technische/r Zeichner/in FR Heizungs-, Klima- und Sanitärtechnik;1027_27212082
92302320-DP;MKDHWM;Medienkaufmann/-kauffrau Digital und Print Handwer;Medienkaufmann/-kauffrau Digital und Print Handwerk;1027_92302320-DP
23422003;MTDV;Medientechnologe Druckverarbeitung/Medientechnolog;Medientechnologe Druckverarbeitung/Medientechnologin Druckverarbeitung;1027_23422003
27212310-SLDS;BZTDSHFP;Bauzeichner/in SP Tief-, Str. Land. + duales Studi;Bauzeichner/in SP Tief-, Str. Land. + duales Studium;1027_27212310-SLDS
25212030-SH;KMEISH;Kraftfahrzeugmechatroniker/in SP System- und Hochv;Kraftfahrzeugmechatroniker/in SP System- und Hochvolttechnik Industrie;1027_25212030-SH
21212042;NSLIRK;Naturwerksteinmechaniker/in FR Schleiftechnik;Naturwerksteinmechaniker/in FR Schleiftechnik;1027_21212042
29232320;FFHLM;Fleischerfachwerker/in (§42r HwO);Fleischerfachwerker/in (§42r HwO);1027_29232320
24122044;VHUIMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie FR Nichteisenmetall-Umformung Industrie;1027_24122044
23412030;MTSIPD;Medientechnologe/Medientechnologin Siebdruck Indus;Medientechnologe/Medientechnologin Siebdruck Industrie;1027_23412030
61142020;FASIEH;Fachkraft für Automatenservice;Fachkraft für Automatenservice;1027_61142020
24222050;VSKIMM;Vorpolierer/in in der Schmuck- und Kleingerätehers;Vorpolierer/in in der Schmuck- und Kleingeräteherstellung;1027_24222050
